515	940	561.5	679	177	0	265.1099	0.04	0.37	0.4172	0.4172	0.0105	0.0108	0.0108	-1.3945	0.4172	260.2346	1.4703	0.0046	0.6375	0.2667	0	0	1.0187	-1.5708	254.5	6.5	62.75	173.5
576.5	1005.5	575.5	758	338	7372	247.502	0.0222	0.2318	0.8164	0.8164	0.0257	0.0508	0.0508	-1.5748	0.8164	246.1804	0.7283	0.0173	0.65	0.2667	0	0	1.0054	-2.8199	242.5	18.9379	109.0002	191.5
556	879.5	572.5	633.2758	435	0	246.7764	0.0161	0.1603	0.3149	0.3149	0.0106	0.0154	0.0154	-1.5039	0.3149	248.7908	0.5719	0.0025	0.6125	0.2667	0	0	0.9919	-1.5708	246	49.4	159	234.1055
509	825	551	465	367	0	362.4417	0.02	0.2231	0.7393	0.7393	0.0247	0.0404	0.0404	-1.4547	0.7393	368.4956	1.0041	0.0134	0.6625	0.2667	0	0	0.9836	-1.8261	357	59	248.1715	324.5
491	798	496	559.5	267	434	238.5524	0.0278	0.2914	0.6469	0.6469	0.022	0.0242	0.0242	-1.5498	0.6469	236.8895	0.8872	0.009	0.675	0.2667	0	0	1.007	-1.5708	235	32.4739	131.5	210.4742
554.5	538	472.5	811.5	1450	918	285.528	0.007	0.0454	0.4115	0.4115	0.0183	0.0272	0.0272	1.8621	0.4115	290.914	0.2006	0.0031	0.6875	0.3333	0	1	0.9815	1.8493	272.1882	108.4212	167.5	193.2
496.5	904.5	511	583	138	0	321.8268	0.0526	0.8936	1.4622	1.4622	0.0583	0.0905	0.0905	-1.5257	1.4622	318.1892	2.3057	0.0308	0.6375	0.2667	0	0	1.0114	-1.1072	314	7	108	209.7
457	768.5	499.5	519	408	0	253.0939	0.0175	0.1317	0.4482	0.4482	0.0172	0.0255	0.0255	-1.4021	0.4482	251.6263	0.6167	0.0092	0.6625	0.2667	0	0	1.0058	-1.5708	247.5	31.8	152.75	222.6
456	781	494	556.3613	1721	443	227.8301	0.0068	0.0846	0.6737	0.6737	0.028	0.0371	0.0371	-1.4032	0.6737	528.4814	0.3071	0.0038	0.6625	0.2667	0	0	0.4311	-1.5708	224.5	58.0814	155.5	201.4887
569	881.5	597	551	299	0	331.684	0.025	0.1538	0.8345	0.8345	0.0386	0.0433	0.0433	-1.4863	0.8345	336.0843	1.124	0.0169	0.65	0.2667	0	0	0.9869	-2.4669	327	33	215.5	315
